type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,PASSIVE,06:AA:E4:82:01:7F,-87,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,867139,0,30,0,0,1.21198,128,[30 -32 1 0 7 14 -5 8 0 12 6 14 2 7 -5 12 1 18 -11 19 -11 2 -6 18 4 16 2 14 -5 16 11 12 -5 22 -3 7 -12 5 -2 27 -2 28 -3 15 -18 7 -13 26 -8 8 -9 18 -25 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 3 -7 2 4 8 -1 17 17 -4 7 2 9 2 16 2 16 2 14 24 8 8 8 4 4 10 1 2 4 8 -7 14 2 18 -12 16 12 9 -6 2 3 12 4 7 -1 19 -5 20 12 31 -3 15 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-75,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,941875,0,30,0,0,1.28358,128,[30 -32 1 0 -16 16 -28 35 -6 31 3 18 -15 9 23 22 -6 28 14 33 17 35 17 53 -19 53 22 58 26 47 9 35 1 64 -4 34 8 24 22 9 18 14 5 11 39 22 28 1 22 -1 29 -15 16 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 28 -26 30 -33 6 -18 -2 -30 -8 -46 -17 -63 -11 -45 -8 -76 -22 -56 -45 -48 -57 -29 -49 -48 -69 -68 -53 -32 -69 -12 -89 -58 -62 -46 -55 -20 -51 -40 -30 -37 -27 -49 -19 -26 -39 -46 -47 -39 -2 -9 7 ]
CSI_DATA,PASSIVE,06:AA:E4:82:01:7F,-82,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,1568906,0,30,0,0,1.9106,128,[30 -32 1 0 -12 -10 -14 -3 -19 -11 -3 -4 -23 -7 3 -21 -28 -18 -6 -14 -20 -32 -23 -20 -29 -14 -23 -7 -23 -1 -34 -7 -19 -10 -18 -8 -6 -2 -1 2 -2 -11 5 -20 -7 -9 -5 -29 4 -22 11 -23 0 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 8 -14 11 -11 -2 -3 0 -12 -8 -16 4 -20 -8 -20 2 -28 8 -23 12 -24 16 -20 11 -20 6 -18 -4 -11 9 -27 -3 -14 -3 -7 -5 -10 -7 -6 2 -23 -20 -32 -3 -26 -8 -16 0 -29 -9 -34 -13 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:08,-78,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,1679679,0,212,0,0,2.02167,128,[-44 64 13 0 0 -17 -4 -18 12 -17 5 -17 -12 -17 2 -18 9 -21 1 -26 -5 -24 -4 -27 -3 -19 -15 -18 -6 -15 -9 -24 -1 -11 1 -16 0 -11 10 -12 13 -4 12 -10 21 -1 20 -2 31 1 35 11 35 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 10 -17 6 -21 6 -18 4 -19 7 -8 12 -11 14 -10 17 -5 18 -16 17 -16 22 -12 16 -14 19 -16 26 -15 18 -16 19 -21 21 -5 14 1 14 -5 6 0 12 3 7 -4 7 4 17 2 0 -1 -6 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0A,-79,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,1680020,0,212,0,0,2.05428,128,[-44 64 13 0 7 21 0 10 12 28 8 26 4 19 15 19 16 16 27 22 19 2 29 5 24 3 22 9 24 10 17 -6 18 3 25 5 8 20 -6 3 -2 15 -7 17 -3 16 -16 20 -12 23 -18 16 -29 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -15 11 -19 8 -15 9 -21 6 -18 6 -15 0 -20 -3 -22 0 -21 -2 -29 2 -27 -12 -24 -12 -29 -16 -26 -8 -35 -10 -24 -7 -28 -5 -15 -19 -12 -10 -8 -9 -6 -6 2 0 -8 3 -2 3 13 -4 -5 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-75,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,1846726,0,98,0,0,2.18851,128,[98 32 6 0 13 9 14 8 20 4 24 6 27 2 28 -1 25 -3 25 -2 28 -6 23 -9 22 -12 22 -14 17 -9 20 -14 13 -6 17 -2 11 4 11 2 6 6 -1 10 -7 14 -9 17 -11 18 -14 21 -21 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -22 1 -27 0 -25 -3 -24 -5 -26 -8 -24 -9 -24 -11 -27 -7 -24 -12 -30 -12 -27 -10 -26 -18 -25 -14 -24 -14 -28 -13 -27 -16 -23 -17 -21 -12 -20 -5 -9 -1 -14 -2 -13 1 -10 10 -5 7 0 6 4 6 ]
CSI_DATA,PASSIVE,06:AA:E4:82:01:7F,-84,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,2166475,0,30,0,0,2.50818,128,[30 -32 1 0 14 23 0 13 5 24 18 8 1 29 5 10 11 28 6 27 10 14 12 18 13 19 20 3 21 18 5 12 18 20 10 19 7 10 11 21 9 8 13 16 2 13 -10 20 -1 22 4 22 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 7 -2 10 7 8 6 9 5 21 -3 17 2 14 12 19 9 20 18 21 14 24 11 22 0 19 18 11 19 10 9 17 6 14 -7 29 13 26 -7 23 -2 19 19 26 9 20 22 22 4 27 8 23 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-68,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,3077739,0,148,0,0,3.41959,128,[-108 64 9 0 -13 2 -15 2 -18 4 -20 7 -23 11 -22 11 -22 14 -24 19 -20 19 -19 20 -13 18 -16 18 -11 18 -11 15 -10 13 -7 11 -6 6 -6 1 -5 0 -4 -6 -6 -10 -4 -13 -2 -17 -1 -19 2 -22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 -9 19 -3 18 -1 18 3 20 6 18 11 17 17 16 20 17 23 15 27 15 30 13 30 15 31 16 28 16 27 18 24 16 23 19 19 16 14 16 13 15 13 14 5 11 2 6 1 6 1 4 -1 ]
CSI_DATA,PASSIVE,D6:E2:CB:E0:11:92,-85,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,3218139,0,212,0,0,3.56006,128,[-44 64 13 0 11 -17 13 -18 4 7 5 -8 -7 -12 3 -15 -17 -27 -17 -22 0 -28 -4 -23 -8 -2 2 -1 8 -2 -12 7 4 2 4 13 11 3 18 8 27 2 24 5 18 7 5 1 8 4 8 13 -9 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -15 19 2 19 5 13 9 15 1 21 16 19 5 23 10 7 20 2 11 5 -3 -2 31 3 24 -9 29 -1 26 -22 31 -1 31 1 17 1 20 -2 15 9 13 24 3 3 -8 5 -6 19 -29 20 -29 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:08,-70,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,4681615,0,212,0,0,5.02356,128,[-44 64 13 0 13 -14 16 -15 17 -15 15 -24 13 -21 12 -25 9 -28 8 -24 4 -24 2 -25 0 -21 -1 -19 -2 -15 -1 -12 -1 -10 1 -7 4 -6 7 0 11 0 15 4 17 5 21 7 24 6 26 9 27 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -23 -18 -19 -22 -17 -25 -18 -24 -14 -25 -14 -24 -9 -29 -8 -30 -10 -29 -9 -34 -10 -31 -8 -30 -10 -34 -9 -24 -8 -27 -10 -26 -11 -21 -11 -17 -13 -17 -12 -13 -7 -11 -8 -10 -1 -6 -3 -6 0 -6 5 -6 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0A,-70,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,4681956,0,212,0,0,5.05778,128,[-44 64 13 0 16 10 18 8 21 9 21 7 23 5 27 2 26 -2 26 -3 22 -6 22 -6 17 -7 14 -9 12 -6 9 -8 8 -3 6 -3 6 1 4 4 5 12 2 13 2 16 3 21 3 23 0 25 -1 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -29 13 -26 19 -25 19 -24 22 -23 22 -23 21 -20 22 -20 25 -20 26 -20 29 -20 26 -19 23 -18 22 -21 16 -20 19 -20 15 -19 13 -19 11 -16 7 -11 8 -10 4 -6 1 -5 2 -4 3 -1 6 5 ]
CSI_DATA,PASSIVE,A8:6A:BB:EA:9F:46,-63,11,1,6,0,1,1,1,0,0,1,-96,1,6,0,5586303,0,94,0,0,5.92803,256,[94 -32 5 0 18 -31 19 -30 23 -32 22 -33 24 -31 23 -31 21 -30 20 -30 20 -31 17 -30 14 -28 12 -26 9 -26 8 -27 6 -25 6 -25 4 -23 3 -23 4 -23 3 -23 2 -22 4 -22 5 -19 7 -18 9 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 2 -5 1 -6 1 -6 0 -7 -1 -8 -1 -8 -3 -7 -4 -8 -5 -7 -5 -5 -6 -7 -5 -5 -6 -4 -6 -3 -6 -3 -7 -2 -7 -1 -5 1 -8 1 -8 3 -11 5 -12 6 -15 8 -18 10 -20 12 -23 ]
CSI_DATA,PASSIVE,06:AA:E4:82:01:7F,-81,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,5605529,0,30,0,0,5.95993,128,[30 -32 1 0 20 15 17 5 16 18 26 26 16 11 31 13 20 0 21 9 22 4 9 12 16 6 8 8 2 -4 7 6 17 8 7 12 6 19 1 23 2 17 5 8 -6 20 4 18 6 13 -6 19 1 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 9 -5 7 -4 6 -7 6 -8 15 -14 11 -17 12 -14 7 -11 12 -10 3 -9 12 -8 10 -3 11 -6 16 -9 23 -4 16 10 18 3 25 -9 26 9 19 -1 27 -7 17 -5 28 5 29 12 28 -10 ]
